City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2021-07-20 15:05:42,-21.2,-175.2,68.16,100,20,3.44
68,Berlevag,NO,2021-07-20 15:05:42,70.8578,29.0864,44.4,70,96,26.15
69,Punta Arenas,CL,2021-07-20 15:02:15,-53.15,-70.9167,39.11,80,96,11.07
70,Pisco,PE,2021-07-20 15:05:42,-13.7,-76.2167,60.85,94,90,3.44
71,Kirando,TZ,2021-07-20 15:05:43,-7.4167,30.6,77.92,43,3,3.15
72,Port Elizabeth,ZA,2021-07-20 15:05:43,-33.918,25.5701,57.49,82,75,19.57
73,Salalah,OM,2021-07-20 15:05:43,17.0151,54.0924,78.89,89,75,8.05
74,Ibra,OM,2021-07-20 15:05:44,22.6906,58.5334,99.1,32,32,13.31
75,Bubaque,GW,2021-07-20 15:05:44,11.2833,-15.8333,82.51,75,18,9.42
76,Novaya Igirma,RU,2021-07-20 15:05:44,57.1334,103.9112,67.69,58,100,3.0
77,Asfi,MA,2021-07-20 15:02:26,32.2994,-9.2372,74.91,64,0,23.22
78,Klaksvik,FO,2021-07-20 15:05:45,62.2266,-6.589,52.72,90,49,1.7
79,Kruisfontein,ZA,2021-07-20 15:05:45,-34.0033,24.7314,53.89,83,100,22.26
80,Ola,RU,2021-07-20 15:05:46,59.5833,151.2833,51.03,93,97,1.99
81,Tual,ID,2021-07-20 15:05:46,-5.6667,132.75,80.15,79,44,21.07
82,Tasiilaq,GL,2021-07-20 15:03:11,65.6145,-37.6368,46.56,97,100,2.21
83,Norman Wells,CA,2021-07-20 15:05:46,65.282,-126.8329,66.49,54,21,9.33
84,Hermanus,ZA,2021-07-20 15:05:47,-34.4187,19.2345,55.9,71,47,12.1
85,Okha,RU,2021-07-20 15:05:47,53.5739,142.9478,54.0,94,100,12.57
86,Richards Bay,ZA,2021-07-20 15:01:41,-28.783,32.0377,72.32,39,0,12.37
87,Dingle,PH,2021-07-20 15:05:48,10.9995,122.6711,78.28,85,100,8.95
88,Airai,TL,2021-07-20 15:05:48,-8.9266,125.4092,56.5,82,30,3.58
89,Palmer,US,2021-07-20 15:05:48,42.1584,-72.3287,79.99,78,1,5.23
90,Kahului,US,2021-07-20 15:05:49,20.8947,-156.47,74.46,85,1,17.27
91,Balabac,PH,2021-07-20 15:05:49,7.9868,117.0645,82.81,77,96,12.03
92,Coquimbo,CL,2021-07-20 15:05:49,-29.9533,-71.3436,49.73,87,90,2.3
93,Yellowknife,CA,2021-07-20 15:05:50,62.456,-114.3525,66.29,87,100,5.01
94,Kurumkan,RU,2021-07-20 15:05:50,54.3,110.3,62.1,72,0,4.25
95,Broken Hill,AU,2021-07-20 15:05:50,-31.95,141.4333,41.56,67,1,15.12
96,Qaqortoq,GL,2021-07-20 15:05:51,60.7167,-46.0333,54.1,86,100,5.99
97,Hirara,JP,2021-07-20 15:05:51,24.8,125.2833,82.62,82,100,34.47
98,Caravelas,BR,2021-07-20 15:05:51,-17.7125,-39.2481,73.36,68,100,14.76
99,Satinka,RU,2021-07-20 15:05:51,52.3792,41.6819,82.29,50,76,8.75
100,Ostrovnoy,RU,2021-07-20 15:05:52,68.0531,39.5131,46.69,93,100,6.17
101,Craig,US,2021-07-20 15:05:52,40.5153,-107.5464,73.02,37,1,3.44
102,Pingliang,CN,2021-07-20 15:05:52,35.5392,106.6861,67.12,92,95,9.69
103,Nemuro,JP,2021-07-20 15:05:53,43.3236,145.575,61.72,98,99,5.39
104,Helena,US,2021-07-20 15:01:07,46.5927,-112.0361,78.24,58,1,1.99
105,East London,ZA,2021-07-20 15:05:53,-33.0153,27.9116,64.0,66,100,7.63
106,Nikolskoye,RU,2021-07-20 15:05:54,59.7035,30.7861,71.49,35,80,7.87
107,Pirganj,BD,2021-07-20 15:05:54,25.8523,88.3618,82.42,79,93,4.41
108,Ferrol,ES,2021-07-20 15:05:54,43.4832,-8.2369,81.72,83,55,6.31
109,Nome,US,2021-07-20 15:02:51,64.5011,-165.4064,57.16,94,90,16.11
110,Guerrero Negro,MX,2021-07-20 15:05:55,27.9769,-114.0611,72.59,73,87,13.4
111,Saldanha,ZA,2021-07-20 15:05:55,-33.0117,17.9442,55.76,58,17,18.03
112,Bethel,US,2021-07-20 15:05:55,41.3712,-73.414,82.02,76,1,1.01
113,Beisfjord,NO,2021-07-20 15:05:56,68.3751,17.5988,50.05,93,100,8.16
114,Flinders,AU,2021-07-20 15:05:56,-34.5833,150.8552,53.2,66,100,15.12
115,Longyearbyen,SJ,2021-07-20 15:05:56,78.2186,15.6401,40.84,81,75,11.5
116,Lebu,CL,2021-07-20 15:05:57,-37.6167,-73.65,55.36,86,100,9.75
117,Ucluelet,CA,2021-07-20 15:05:57,48.9329,-125.5528,63.95,91,88,1.01
118,Butaritari,KI,2021-07-20 15:05:57,3.0707,172.7902,81.9,76,100,6.04
119,Pietersburg,ZA,2021-07-20 15:05:58,-23.9045,29.4688,48.6,27,0,8.12
120,Vila Franca Do Campo,PT,2021-07-20 15:05:58,37.7167,-25.4333,72.01,80,81,16.06
121,Kemijarvi,FI,2021-07-20 15:05:59,66.7131,27.4306,53.91,60,94,7.65
122,Cap-Chat,CA,2021-07-20 15:05:59,49.1001,-66.6821,57.78,98,100,6.89
123,Avera,US,2021-07-20 15:05:59,33.194,-82.5271,78.44,81,100,4.54
124,Nanortalik,GL,2021-07-20 15:06:00,60.1432,-45.2371,45.84,76,100,7.31
125,Myingyan,MM,2021-07-20 15:06:00,21.4667,95.3833,82.8,77,100,15.61
126,Grandola,PT,2021-07-20 15:06:01,38.1772,-8.5668,69.35,46,11,13.04
127,Antigonish,CA,2021-07-20 15:06:01,45.6169,-61.9986,77.97,80,92,5.01
128,Sechura,PE,2021-07-20 15:06:01,-5.5569,-80.8222,69.89,68,1,6.06
129,Husavik,IS,2021-07-20 15:06:02,66.0449,-17.3389,58.15,80,25,7.96
130,Derzhavinsk,KZ,2021-07-20 15:06:02,51.1,66.3167,73.9,48,41,13.44
131,Aswan,EG,2021-07-20 15:06:02,24.0934,32.907,107.71,11,44,14.63
132,Talaja,IN,2021-07-20 15:06:03,21.35,72.05,83.19,78,80,18.66
133,San Quintin,MX,2021-07-20 15:06:03,30.4833,-115.95,71.13,80,84,9.55
134,Raudeberg,NO,2021-07-20 15:06:03,61.9875,5.1352,60.4,75,89,15.46
135,Cabo San Lucas,MX,2021-07-20 15:04:49,22.8909,-109.9124,89.91,40,20,0.0
136,Pontianak,ID,2021-07-20 15:06:04,-0.0333,109.3333,80.58,94,40,0.0
137,Lavrentiya,RU,2021-07-20 15:06:04,65.5833,-171.0,45.37,97,100,5.75
138,Uglovskoye,RU,2021-07-20 15:06:05,51.3557,80.1942,70.9,51,100,10.87
139,Isangel,VU,2021-07-20 15:06:05,-19.55,169.2667,73.62,89,3,6.15
140,Lensk,RU,2021-07-20 15:06:05,60.7253,114.9278,59.0,88,100,2.91
141,Bako,ET,2021-07-20 15:06:06,5.7833,36.5667,67.93,76,78,2.15
142,New Norfolk,AU,2021-07-20 15:06:06,-42.7826,147.0587,42.58,76,63,1.01
143,Mankapur,IN,2021-07-20 15:06:07,27.0333,82.2333,82.36,86,100,4.65
144,Ushuaia,AR,2021-07-20 15:01:35,-54.8,-68.3,33.26,88,95,4.52
145,Sao Borja,BR,2021-07-20 15:05:28,-28.6606,-56.0044,55.27,52,88,4.41
146,Tiksi,RU,2021-07-20 15:06:07,71.6872,128.8694,42.66,85,96,9.08
147,Luderitz,NA,2021-07-20 15:06:07,-26.6481,15.1594,62.11,57,97,31.12
